Key,Desc,English,Russian,Spanish,Chinese (Simplified),Belarusian,French,German,Italian,Japanese,Korean,,Turkish,Ukrainian
7_4a_StrongFigter_cardRight,,"Attempt a feint - fake left, strike right",Попробовать обманный финт,"Probar una finta - amaga a la izquierda, golpea a la derecha",,,,,,,,,,
7_4a_StrongFigter_cardRight_REV,,The feint almost works - until his eyes narrow. His counterpunch slams into your ribs,"Вы почти обманули его, но в последний момент он видит уловку и бьёт в ответ",La finta casi funciona… hasta que él reacciona. Su contraataque impacta en tu costado,,,,,,,,,,
7_4c_StrongFigter_bunner,,Your opponent’s slowing - but his fists still carry death. The crowd howls for a finale,"Противник уже начал уставать, но все ещё опасен. Толпа ждёт зрелища",El rival flaquea… pero sus puños siguen siendo letales. La multitud exige un espectáculo,,,,,,,,,,
7_4c_StrongFigter_cardLeft,,Step back to gasp for air - just one shaky breath,Отступить на шаг чтобы отдышаться,Retrocede un paso para recuperar el aliento - solo un instante,,,,,,,,,,
7_4c_StrongFigter_cardLeft_REV,,A few ragged breaths - now your mind clears. Time for a new plan,Вы немного отдышались и готовы обдумать новую тактику,Recuperas el aliento - la mente se despeja. Hora de un nuevo plan,,,,,,,,,,
7_4c_StrongFigter_cardRight,,"Attempt a feint - fake left, strike right",Попробовать обманный финт,"Probar una finta - amaga a la izquierda, golpea a la derecha",,,,,,,,,,
7_4c_StrongFigter_cardRight_REV,,The feint almost works - until his eyes flash with realization. His counterpunch cracks your ribs like dry wood,"Вы почти обманули его, но в последний момент он видит уловку и бьёт в ответ",La finta casi funciona… hasta que él lo ve venir. Su contraataque te deja sin aliento,,,,,,,,,,
7_4d_StrongFigter_bunner,,"The opponent shakes his head, staggering - but still lethal. The crowd roars for carnage","Противник мотает головой, немного пошатывается, но ещё опасен. Толпа ждёт зрелища","El rival mueve la cabeza, tambaleándose - pero sigue siendo peligroso. El público grita por sangre",,,,,,,,,,
7_4d_StrongFigter_cardLeft,,No hesitation - strike while he’s vulnerable!,"Не терять времени, воспользоваться ситуацией",¡Sin perder tiempo - ataca mientras flaquea!,,,,,,,,,,
7_4d_StrongFigter_cardLeft_REV,,"Your fist cracks his cheekbone - he reels, swaying like a storm-tossed ship","Вы бьёте ему в скулу - удар точный, и он пошатывается ещё сильнее","El puñetazo impacta en su pómulo—vacila, tambaleándose como un borracho",,,,,,,,,,
7_4d_StrongFigter_cardRight,,"Attempt a feint - fake left, strike right",Попробовать обманный финт,"Probar una finta - amaga a la izquierda, golpea a la derecha",,,,,,,,,,
7_4d_StrongFigter_cardRight_REV,,The feint almost works - until his eyes flash with realization. His counterpunch cracks your ribs like dry wood,"Вы почти обманули его, но в последний момент он видит уловку и бьёт в ответ",La finta casi funciona… hasta que él lo ve venir. Su contraataque te deja sin aliento,,,,,,,,,,
7_5_StrongFigter_bunner,,"Both of you gasp for air - he staggers, but his eyes burn with raw defiance","Вы оба тяжело дышите. Противник пошатывается, но его взгляд полон упрямства","Jadeáis como bestias heridas - él tambalea, pero su mirada arde en terquedad",,,,,,,,,,
7_5_StrongFigter_cardLeft,,Wind up for the finishing blow - put everything into it,Размахнуться на решающий удар,Prepárate para el golpe definitivo - con toda tu fuerza,,,,,,,,,,
7_5_StrongFigter_cardLeft_REV,,He dodges - his fist plows into your gut. The world tilts as you faceplant into mud,Он уклоняется и бьёт в живот. Последний удар - и вы падаете в грязь,"Esquiva - y su puño clava en tu estómago. Caes de bruces al barro, vencido",,,,,,,,,,
7_5_StrongFigter_cardRight,,Feign collapse - then uppercut from the dirt,"Сделать вид, что падаете, и ударить снизу",Fingir una caída - y lanzar un gancho al mentón desde el suelo,,,,,,,,,,
7_5_StrongFigter_cardRight_REV,,As he leans in for the kill - your fist burrows into his gut. The champion drops. The crowd’s shrieks chase you back to the tavern,"Он тянется вас добить - и получает в живот, противник повержен. Толпа радостно визжит, и вы возвращаетесь в трактир",Cuando se inclina para rematarte - tu puño clava en su estómago. El gigante cae. Los gritos de la turba te siguen hasta la taberna,,,,,,,,,,
7_AfterCombat_bunner,,A drunk bard stumbles onto the stage: ‘Next tune’s „Limping Mary from the Lowlands“ - dedicated to my darling wife!,"На сцену выходит пьяный бард и анонсирует - следующая песня называется ""кривоногая Мария из низины"" и посвящается моей жене",Un bardo ebrio sube al escenario: ‘La próxima es „Maria la Coja del Pantano“… ¡para mi amada esposa!,,,,,,,,,,
7_AfterCombat_cardLeft,,Drink more,Выпить еще,Beber más,,,,,,,,,,
7_AfterCombat_cardLeft_REV,,Back to the table - back to the ale,Вы возвращаетесь за стол и продолжаете пить эль,Vuelves a la mesa y sigues bebiendo cerveza.,,,,,,,,,,
7_AfterCombat_cardRight,,No question - more ale!,Однозначно выпить еще,"Sin duda, otra ronda",,,,,,,,,,
7_AfterCombat_cardRight_REV,,Back to the table - back to the ale,Вы возвращаетесь за стол и продолжаете пить эль,Vuelves a la mesa y sigues bebiendo cerveza.,,,,,,,,,,
7_1_drunkStory_bunner,,"The ale cheers you - cheeks flushed, belly warm and full, words slurring freely. The world sways gently... and somehow, it’s perfect","Эль вас веселит, щёки разгорелись, пузо налилось уютной тяжестью, язык болтает сам по себе, мир чуть покачивается, но в этом даже есть прелесть","La cerveza te alegra - mejillas ardientes, tripa llena como un odre, lengua suelta. El mundo baila… y hasta tiene su encanto",,,,,,,,,,
7_1_drunkStory_cardLeft,,Raise a toast to the good old days,Поднять тост за старые добрые времена,Brindar por los viejos tiempos,,,,,,,,,,
7_1_drunkStory_cardLeft_REV,,"You rise, mug aloft, slurring a ‘touching’ memory… or at least it feels profound right now","Вы встаёте из-за стола, размахиваете кружкой и вспоминаете что-то трогательное… вам так кажется","Te levantas, jarra en alto, evocando un recuerdo ‘conmovedor’… o eso crees entre brumas",,,,,,,,,,
7_1_drunkStory_cardRight,,Hug the nearest patron and belt out a drunken ballad,Обнять ближайшего соседа и начать петь,Abrazar al primero que pilles y entonar una canción borracha,,,,,,,,,,
7_1_drunkStory_cardRight_REV,,"You’re not sure who you’re hugging - just that it’s tight. Your voice cracks, but your soul screams the chorus","Вы не уверены, кто рядом, но обнимаете крепко. Голос срывается, но душа поёт","No sabes a quién abrazas - solo que es con fuerza. La voz falla, pero el alma canta a gritos",,,,,,,,,,
7_2A_drunkStory_bunner,,"Your toast slurs, the mug’s near empty - but your eyes gleam. Your body demands an encore","Ваш тост выходит сбивчивым, кружка почти пуста, но глаза блестят. Тело требует продолжения","El brindis es un farfullo, la jarra casi vacía… pero tus ojos brillan. El cuerpo exige otra ronda",,,,,,,,,,
7_2A_drunkStory_cardLeft,,Grab the wooden post for balance - the floor’s being suspiciously wobbly,Опереться на столб для равновесия,Agárrate al poste de madera… el suelo parece conspirar contra ti,,,,,,,,,,
7_2A_drunkStory_cardLeft_REV,,"You lean on the post… then hug it. Soon, you’re sharing heartfelt secrets. It nods along","Вы облокачиваетесь на столб, потом обнимаете его. Через минуту ведёте с ним душевную беседу. Кажется, он понимает","Te apoyas en el poste… luego lo abrazas. Minutos después, confiesas tus penas. Parece entender",,,,,,,,,,
7_2A_drunkStory_cardRight,,Attempt to reach the door,Попытаться дойти до двери,Intentar llegar a la puerta,,,,,,,,,,
7_2A_drunkStory_cardRight_REV,,"You lurch toward freedom - shoulder meets doorframe with a thud. Darkness claims you mid-stumble, body crumpling like a discarded rag","Вы почти выходите, но врезаетесь плечом в косяк. Вас закружило, и вы вырубились прямо рядом с дверью","Tambaleas hacia la salida—hombro contra marco, ¡crack!. El sueño te arrulla en el suelo, como un niño",,,,,,,,,,
7_2B_drunkStory_bunner,,"You and the neighbors belt out a drunken anthem. The room spins, your knees wobble - sheer drunken bliss","Вы вместе с соседями поёте хором. Голова кружится, ноги подрагивают, настроение на пике. Вы пьяны — по-настоящему","Cantáis a grito pelado con los parroquianos. La cabeza gira, las piernas flaquean - borrachera pura",,,,,,,,,,
7_2B_drunkStory_cardLeft,,Time to dance!,"Решить, что можете станцевать",¡Es la hora de bailar! ,,,,,,,,,,
7_2B_drunkStory_cardLeft_REV,,"You rise from the table - legs rebelling. One ‘graceful’ pirouette later, you crash-land by the door, snoring into the floorboards","Вы встаете из-за стола, но ноги вас не слушаются и делая интересное движение вы приземляетесь рядом с дверью и засыпаете ","Te levantas… las piernas te traicionan. Tras un ‘elegante’ giro, aterrizas junto a la puerta, roncando en el suelo",,,,,,,,,,
7_2B_drunkStory_cardRight,,Go ‘stretch’ outside,Пойти размяться на улице,Ir a ‘estirarse’ a la calle,,,,,,,,,,
7_2B_drunkStory_cardRight_REV,,You stride out to claim your champion’s glory - only to faceplant into a puddle. The last thing you see: a chicken judging you,"Вы выходите на воздух, чтобы показать, кто тут чемпион - и падаете в лужу. Последнее, что видите - курицу, смотрящую на вас",Sales a proclamar tu grandeza… y caes de bruces en un charco. Lo último que ves: una gallina juzgándote,,,,,,,,,,
7_3B_drunkStory_bunner,,"You wake to the sun stabbing your eyes. The tavern yard lies deserted. Your head thrums, your clothes reek of ale and smoke","Вы приходите в себя от того, что солнце светит вам в глаза, двор трактира пуст. Голова гудит, одежда пахнет элем и дымом","Despiertas con el sol clavándose en tus ojos. El patio está vacío. La cabeza zumba, la ropa huele a cerveza y humo",,,,,,,,,,
7_3B_drunkStory_cardLeft,,"Get up, dust yourself off, and scan the area","Подняться, отряхнуться и осмотреться","Levantarse, sacudirse y mirar alrededor",,,,,,,,,,
7_3B_drunkStory_cardLeft_REV,,"The innkeeper laughs at your state - then slides you a steaming stew. Fortified, you’re ready to visit the Tsar and unravel his trouble","Трактирщик смеется над вами, а потом дает сытную похлебку. Теперь вы готовы пойти к Царю и узнать что там за беда","El tabernero se ríe de ti… pero te sirve un guiso caliente. Ahora, listo para ir al Zar y averiguar el problema",,,,,,,,,,
7_3B_drunkStory_cardRight,,Haul yourself to the hayloft and snooze a few more hours,Перебраться на сеновал и вздремнуть еще часок - другой,Escóndete en el pajar y echa una siesta larga,,,,,,,,,,
7_3B_drunkStory_cardRight_REV,,You drift into blissful sleep—until the king’s guard yanks you upright. They march your stumbling form to the throne,"Вы сладко засыпаете, и вдруг вас находит царская стража. Вас поднимают и ведут, пошатываясь, к царю",Te duermes… hasta que la guardia real te arrastra. Te llevan tambaleante ante el rey,,,,,,,,,,
7_3C_drunkStory_bunner,,You wake with a headache worthy of a troll’s club and the distinct sense you lost a fight with a cart. The chicken still judges you. From the tavern: muffled laughter - another damn day,"Вы просыпаетесь с головной болью и ощущением, будто вас вчера переехала телега. Курица всё ещё рядом. Из трактира доносится шум - новый день начался",Despiertas con un dolor de cabeza de gigante y el recuerdo de una carreta pasándote por encima. La gallina sigue ahí. Risas desde la taberna - otro maldito día,,,,,,,,,,
7_3C_drunkStory_cardLeft,,Attempt to rise with dignity,Попытаться встать с достоинством,Intentar levantarse con elegancia,,,,,,,,,,
7_3C_drunkStory_cardLeft_REV,,"You haul yourself up, wheezing. Somehow, only the chicken witnessed your shame - so technically, it almost counts as dignity","Вы поднимаетесь, тяжело дыша. Никто, кроме курицы, не видел этого, так что получилось почти достойно","Te levantas jadeando. Milagrosamente, solo la gallina vio el espectáculo - así que casi fue elegante",,,,,,,,,,
7_3C_drunkStory_cardRight,,Grope blindly for anything to haul yourself upright ,Попытаться нащупать что-то что поможет вам встать,Tanteas en busca de algo para levantarte,,,,,,,,,,
7_3C_drunkStory_cardRight_REV,,Your hand clunks against a giant ladle - now your makeshift staff as you hobble toward the king’s castle,"Ваша рука натыкается на большой половник, вы используете его вместо посоха. И отправляетесь в замок к царю",Tus dedos topan con un cucharón - ahora es tu bastón real mientras marchas al castillo del rey,,,,,,,,,,
7_2_DeadEnd_bunner,,You find a secret altar where different jewelry lies Your attention is caught by a small but shining stone,"Вы находите тайный алтарь, где лежат разные украшения Ваше внимание привлек маленький, но сияющий камень",Encuentras un altar secreto donde reposan diversas joyas. Tu atención se fija en una pequeña pero resplandeciente piedra,,,,,,,,,,
7_2_DeadEnd_cardLeft,,Take the stone,Взять камень,Tomar la piedra,,,,,,,,,,
7_2_DeadEnd_cardLeft_REV,,"The moment your fingers brush the stone, a trap snares shut - but you snatch the prize, barely avoiding searing flames","Как только вы касаетесь камня, активируется ловушка, вам удаётся схватить добычу и не обжечь руку","Al tocar la piedra, una trampa se activa - pero logras agarrar el botín, esquivando llamas por segundos",,,,,,,,,,
7_2_DeadEnd_cardRight,,"Don't touch anything, just leave","Ничего не трогать, просто уйти ",No tocar nada y simplemente marcharse,,,,,,,,,,
7_2_DeadEnd_cardRight_REV,,You continue on your way and will forever regret the treasure you missed out on,Вы продолжаете путь и будете вечно сожалеть об упущенных сокровищах,Sigues tu camino y lamentarás por siempre los tesoros perdidos,,,,,,,,,,
7_3_DeadEnd_bunner,,"You find a corridor with two staircases, one leading straight ahead and the other up","Вы попадете в коридор с двумя лестницами, одна ведет прямо, а вторая наверх","Llegas a un corredor con dos escaleras: una conduce recto hacia adelante, la otra asciende",,,,,,,,,,
7_3_DeadEnd_cardLeft,,Walk straight ahead,Пойти прямо,Seguir recto,,,,,,,,,,
7_3_DeadEnd_cardLeft_REV,,The magic portal of the demo looks at you and transports you to the throne room to see the King,На вас смотрит магический портал демоверсии и переносит вас в тронный зал к Царю,"Un portal mágico de la versión de prueba te observa y te transporta al salón del trono, ante el Zar",,,,,,,,,,
7_3_DeadEnd_cardRight,,Go upstairs,Пойти наверх,Subir las escaleras,,,,,,,,,,
7_3_DeadEnd_cardRight_REV,,"As you climb the stairs, you step on a slab - the floor suddenly disappears and you fall into the throne room to the King","Поднимаясь по лестнице, вы наступаете на плиту - пол внезапно исчезает, и вы падаете в тронный зал к Царю","Al subir la escalera, pisas una losa: el suelo desaparece de repente y caes directamente en el salón del trono ante el Zar",,,,,,,,,,
7_KingTellStory_bunner,,"He sent his best knights,
But no one has returned and now
He orders you to save the princess","Он посылал самых лучших своих рыцарей,

но никто так и не вернулся и теперь

он приказывает вам спасти принцессу","Envió a sus mejores caballeros,
pero ninguno regresó. Ahora,
te ordena rescatar a la princesa",,"Ён пасылаў самых лепшых сваіх рыцараў,

але ніхто так і не вярнуўся і цяпер

ён загадвае вам выратаваць прынцэсу",,,,,,,,
7_KingTellStory_cardLeft,,Refuse,Отказаться,Rechazar,,Адмовіцца,,,,,,,,
7_KingTellStory_cardLeft_REV,,You reply that you are not in the mood for exploits,"Вы отвечаете, что у вас нет настроения для подвигов",Respondes que no tienes ánimo para hazañas,,Вы адказваеце што ў вас няма настрою для подзвігаў,,,,,,,,
7_KingTellStory_cardRight,,Agree to save the princess,Согласиться спасти принцессу,Aceptar rescatar a la princesa,,Пагадзіцца выратаваць прынцэсу,,,,,,,,
7_KingTellStory_cardRight_REV,,"The king is pleased with your compliance, and gives two warriors to help",Царь рад что вы согласились,El zar se alegra de que hayas aceptado,,"Кароль узрадаваны вашай згаворлівасцю, і дае ў дапамогу двух воінаў",,,,,,,,
7_Listen_bunner,,"He sent his best knights,
but no one came back and now
he asks you to save the princess","Он посылал самых лучших своих рыцарей,
но никто так и не вернулся и теперь
он просит вас спасти принцессу","Envió a sus mejores caballeros,
pero ninguno regresó. Ahora,
te pide que rescates a la princesa",,"Ён пасылаў самых лепшых сваіх рыцараў,
але ніхто так і не вярнуўся і цяпер
ён просіць вас выратаваць прынцэсу",,,,,,,,
7_Listen_cardLeft,,Refuse,Отказаться,Rechazar,,Адмовіцца,,,,,,,,
7_Listen_cardLeft_REV,,You reply that you are not in the mood for exploits,"Вы отвечаете, что у вас нет настроения для подвигов",Respondes que no tienes ánimo para hazañas,,Вы адказваеце што ў вас няма настрою для подзвігаў,,,,,,,,
7_Listen_cardRight,,Agree to save the princess,Согласиться спасти принцессу,Aceptar rescatar a la princesa,,Пагадзіцца выратаваць прынцэсу,,,,,,,,
7_Listen_cardRight_REV,,The King is pleased with your compliance and grants you the family sword,Царь обрадован вашей сговорчивостью и дарует вам фамильный меч,"El zar, complacido por tu disposición, te entrega una espada ancestral de la familia",,Кароль узрадаваны вашай згаворлівасцю і даруе вам фамільны меч,,,,,,,,
8_GoToJail_bunner,,You were thrown into a dungeon,Вас бросили в темницу,Te arrojaron a la mazmorra,,Вас кінулі ў вязніцу,,,,,,,,
8_GoToJail_cardLeft,,Further,Далее,Siguiente,,Далей,,,,,,,,
8_GoToJail_cardLeft_REV,,"There will be a separate full-fledged branch, sorry, but it is not available in the demo version","Вам повезло и в демо версии действует всеобщая амнистия, и у вас есть еще одна попытка","Tuviste suerte, y en la versión de prueba hay una amnistía general. Tienes otra oportunidad",,"Там будзе асобная паўнавартасная галінка, прабачце, але яна недаступная ў дэма-версіі",,,,,,,,
8_GoToJail_cardRight,,Further,Далее,Siguiente,,Далей,,,,,,,,
8_GoToJail_cardRight_REV,,"There will be a separate full-fledged branch, sorry, but it is not available in the demo version","Вам повезло и в демо версии действует всеобщая амнистия, и у вас есть еще одна попытка","Tuviste suerte, y en la versión de prueba hay una amnistía general. Tienes otra oportunidad",,"Там будзе асобная паўнавартасная галінка, прабачце, але яна недаступная ў дэма-версіі",,,,,,,,
8_2_GoToJail_bunner,,You've been thrown in prison,Вас бросили в темницу,Te arrojaron a la mazmorra,,,,,,,,,,
8_2_GoToJail_cardLeft,,Next,Далее,Siguiente,,,,,,,,,,
8_2_GoToJail_cardLeft_REV,,"You're lucky, there's a general amnesty in the demo version and you're escorted to the Czar ","Вам повезло, в демо версии действует всеобщая амнистия, и вас сопроводили к царю ","Tuviste suerte, y en la versión de prueba hay una amnistía general. Tienes otra oportunidad",,,,,,,,,,
8_2_GoToJail_cardRight,,Next,Далее,Siguiente,,,,,,,,,,
8_2_GoToJail_cardRight_REV,,"You're lucky, there's a general amnesty in the demo version and you're escorted to the Czar ","Вам повезло, в демо версии действует всеобщая амнистия, и вас сопроводили к царю ","Tuviste suerte, y en la versión de prueba hay una amnistía general. Tienes otra oportunidad",,,,,,,,,,
8_NoSword_bunner,,The King is counting on you very much,Царь очень рассчитывает на вас,El zar cuenta mucho contigo,,Кароль вельмі разлічвае на вас,,,,,,,,
8_NoSword_cardLeft,,Set off immediately,Отправиться в путь незамедлительно,Partir de inmediato,,Ехаць адразу,,,,,,,,
8_NoSword_cardLeft_REV,,You don't need anything else and you're on your way,"Вам больше ничего не нужно, и вы отправляетесь в путь",No necesitas nada más y emprendes el viaje,,Вам больш нічога не трэба і вы адпраўляецеся ў шлях,,,,,,,,
8_NoSword_cardRight,,Run home to get some things,Забежать домой за вещичками,Pasar por casa a recoger algunas cosas,,Забегчы дадому за штучкамі,,,,,,,,
8_NoSword_cardRight_REV,,You need to go home to get the necessary things,Вам нужно зайти домой за необходимыми вещами,Necesitas ir a casa a buscar lo imprescindible,,Вам трэба зайсці дадому па неабходныя рэчы,,,,,,,,
8_Sword_bunner,,"The king offers his two warriors and horses to help, but you have to go into the courtyard to get them","Царь предлагает в помощь двух своих воинов и коней, но за ними нужно зайти во двор, а времени очень мало","El zar te ofrece la ayuda de dos de sus guerreros y caballos, pero debes ir al patio por ellos, y el tiempo apremia",,"Кароль прапануе ў дапамогу двух сваіх воінаў і коней, але за імі трэба зайсці ў двор, а часу вельмі мала",,,,,,,,
8_Sword_cardLeft,,Refuse help and go it alone,Отказаться от помощи и отправиться в одиночку,Rechazar la ayuda y partir en solitario,,"Адправіцца ў адзіночку, але спачатку забегчы дадому за штучкамі.",,,,,,,,
8_Sword_cardLeft_REV,,"We can’t let you roam the demo alone just yet - but very soon, you’ll be ready!","Мы не можем отправить вас путешествовать по демоверсии, без подмоги, но уже совсем скоро, вы будете готовы",No podemos dejarte explorar la demo sin ayuda… pero muy pronto estarás listo,,Вам трэба зайсці дадому па неабходныя рэчы,,,,,,,,
8_Sword_cardRight,,Go to the barracks for reinforcements,Идти в казарму за подмогой,Ir al cuartel en busca de refuerzos,,Ісці ў казарму за падмогай,,,,,,,,
8_Sword_cardRight_REV,,"On your way to the barracks, you stop by the stable and take some horses",По пути в казарму вы заходите в конюшню и берете коней,"De camino al cuartel, pasas por la caballeriza y tomas los caballos",,Па шляху ў казарму вы заходзіце ў стайню і бераце коней,,,,,,,,
9_GUARDS_bunner,,"You go into the barracks, who will you take to help you?","Вы заходите в казарму, кого возьмете себе в подмогу?","Entras en el cuartel, ¿a quién elegirás como apoyo?",,"Вы заходзіце ў казарму, каго возьмеце сабе ў падмогу?",,,,,,,,
9_GUARDS_cardLeft,,Two young but strong guys,"Двух молодых, но крепких ребят","A dos jóvenes, pero fuertes muchachos",,"Двух маладых, але моцных хлопцаў",,,,,,,,
9_GUARDS_cardLeft_REV,,You decide that the power will not be superfluous,"Вы решаете, что сила лишней не будет",Decides que la fuerza nunca está de más,,Вы вырашаеце што сіла лішняй не будзе,,,,,,,,
9_GUARDS_cardRight,,"One is young and strong, and the other, in years, but wise and experienced","Одного молодого и крепкого, а второго, в летах, но мудрого и опытного война","A uno joven y fuerte, y al otro, un guerrero veterano, sabio y experimentado",,"Аднаго маладога і моцнага, а другога, у гадах але мудрага і дасведчанага вайна",,,,,,,,
9_GUARDS_cardRight_REV,,You take an old man and a young man to your team,Вы берете старика и юнца себе в команду,Tomas al anciano y al joven para tu equipo,,Вы бераце старога і юнака сабе ў каманду,,,,,,,,
10_GO_WAY_HOW_1_bunner,,Are you ready to go rescue the princess?,Вы уже готовы отправиться спасать принцессу?,¿Estás listo para partir y rescatar a la princesa?,,Вы ўжо гатовыя адправіцца ратаваць прынцэсу?,,,,,,,,
10_GO_WAY_HOW_1_cardLeft,,Stop by home to grab your belongings,Заехать домой за вещичками,Pasar por casa a recoger algunas cosas,,Заехаць дадому па штучкі,,,,,,,,
10_GO_WAY_HOW_1_cardLeft_REV,,You need to stop by home to collect the necessary items,Вам  нужно заехать домой за необходимыми вещами,Necesitas pasar por casa a recoger lo imprescindible,,Вам трэба заехаць дадому па неабходныя рэчы,,,,,,,,
10_GO_WAY_HOW_1_cardRight,,Set off on your journey without delay.,Отправиться в путь незамедлительно,Partir de inmediato,,Ехаць адразу,,,,,,,,
10_GO_WAY_HOW_1_cardRight_REV,,You mount the horses and gallop towards the city gates,Вы садитесь на лошадей и скачите к выходу из города,Montáis a caballo y galopáis hacia la salida de la ciudad,,Вы сядайце на коней і скачыце да выхаду з горада,,,,,,,,
10_GO_WAY_HOW_1_cardRight_REV_NO,,You mount the horses and gallop towards the city gates,Вы садитесь на лошадей и скачите к выходу из города,Montáis a caballo y galopáis hacia la salida de la ciudad,,Вы сядайце на коней і скачыце да выхаду з горада,,,,,,,,
10_NAIL_1_bunner,,One of your horses stepped on a bent nail,Одна из ваших лошадей наткнулась на гнутый гвоздь,Uno de tus caballos pisó un clavo doblado,,Адна з вашых коней натыкнулася на гнуты цвік,,,,,,,,
10_NAIL_1_cardLeft,,Stop by the nearest blacksmith to pull out the nail,Заехать к ближайшему кузнецу чтобы вытащить гвоздь,Pasar por el herrero más cercano para sacar el clavo,,Заехаць да бліжэйшага каваля каб выцягнуць цвік,,,,,,,,
10_NAIL_1_cardLeft_REV,,"There was a long line at the blacksmith's, and you had to wait until evening",К кузнецу была большая очередь пришлось подождать до вечера,"Había una larga fila en la herrería, y tuviste que esperar hasta el anochecer",,Да каваля была вялікая чарга прыйшлося пачакаць да вечара,,,,,,,,
10_NAIL_1_cardRight,,Leave the horse at the village stable,Оставить лошадь у деревенской конюшни,Dejar el caballo en la caballeriza del pueblo,,Пакінуць каня ля вясковай стайні,,,,,,,,
10_NAIL_1_cardRight_REV,,The warriors have to ride on one horse,Воинам приходится сеть на одну лошадь,Los guerreros tienen que montar juntos en un solo caballo,,Воінам даводзіцца сетку на адзін конь,,,,,,,,
11_Home_bunner,,"You are at home, you will not be able to take much, choose","Вы дома, много взять не получится, выбирайте","Estás en casa, no podrás llevar mucho. Elige con cuidado",,"Вы дома, шмат узяць не атрымаецца, выбірайце",,,,,,,,
11_Home_cardLeft,,Take the gold coins,Взять золотые монеты,Tomar las monedas de oro,,Ўзяць золата,,,,,,,,
11_Home_cardLeft_REV,,You take 10 peculiar gold coins with you - relics from your last escapade,"Вы берете 10 особых золотых монет, оставшиеся у вас с последнего приключения",Llevas contigo 10 monedas de oro singulares - vestigios de tu última aventura,,Фінансы ў такой справе не пашкодзяць,,,,,,,,
11_Home_cardRight,,Take the chain mail,Взять кольчугу,Tomar una cota de malla,,Узяць кальчугу,,,,,,,,
11_Home_cardRight_REV,,"Your old, proven chain mail","Ваша старая, проверенная кольчуга",Tu vieja y confiable cota de malla,,"Ваша старая, правераная кальчуга",,,,,,,,
11_Home_NO_G_NO_H_bunner,,"You decided to set off on your own two feet, so you won't be able to take anything heavy","Вы решили отправиться в путь на своих двоих, потому ничего тяжелого взять не получится","Decides emprender el viaje a pie, por lo que no podrás llevar nada pesado",,,,,,,,,,
11_Home_NO_G_NO_H_cardLeft,,Take the gold coins,Взять золотые монеты,Tomar las monedas de oro,,,,,,,,,,
11_Home_NO_G_NO_H_cardLeft_REV,,You take 10 peculiar gold coins with you - relics from your last escapade,"Вы берете 10 особых золотых монет, оставшиеся у вас с последнего приключения",Llevas contigo 10 monedas de oro singulares - vestigios de tu última aventura,,,,,,,,,,
11_Home_NO_G_NO_H_cardRight,,Take the rope,Взять веревку,Tomar una cuerda,,,,,,,,,,
11_Home_NO_G_NO_H_cardRight_REV,,"The rope is long and strong, might come in handy","Веревка длинная и крепкая, может пригодиться","La cuerda es larga y resistente, podría ser útil",,,,,,,,,,
12_Forest_Entrance_bunner,,"You are on your way to the dragon's lair, there is a dense forest ahead","Вы отправляетесь в путь к логову дракона, впереди густой лес",Emprendes el viaje hacia la guarida del dragón. Frente a ti se extiende un bosque denso,,"Вы адпраўляецеся ў шлях да логава дракона, наперадзе густы лес",,,,,,,,
12_Forest_Entrance_cardLeft,,Go through the forest,Идти через лес,Atravesar el bosque,,Ісці праз лес,,,,,,,,
12_Forest_Entrance_cardLeft_REV,,You decide that going through the forest will be faster,"Вы решаете, что пройти лес насквозь будет быстрее",Decides que atravesar el bosque será más rápido,,Вы вырашаеце што прайсці лес наскрозь будзе хутчэй,,,,,,,,
12_Forest_Entrance_cardRight,,Bypass the forest,Обойти лес ,Rodear el bosque,,Абыйсці лес,,,,,,,,
12_Forest_Entrance_cardRight_REV,,"You take a detour, but the path is blocked by a massive debris pile. The developers promise to clear it by the full release","Вы идете в обход, но путь вам преграждает огромный завал, разработчики обещают убрать его к релизу полной версии","Tomas un desvío, pero el camino está bloqueado por un enorme derrumbe. Los desarrolladores prometen eliminarlo para el lanzamiento completo",,Вам здаецца што абыйсці лес будзе бяспечней,,,,,,,,
12_Forest_Entrance_ALONE_bunner,,"You set off on your journey, with a dense forest ahead of you","Вы отправляетесь в путь, впереди густой лес","Emprendes el viaje, y frente a ti se extiende un bosque denso",,,,,,,,,,
12_Forest_Entrance_ALONE_cardLeft,,Go through the forest,Идти через лес,Atravesar el bosque,,,,,,,,,,
12_Forest_Entrance_ALONE_cardLeft_REV,,"You're not intimidated by the dark woods (a little intimidated in general, but you don't give the appearance)","Вас не пугает темный лес                               (вообще немного пугает, но вы не подаете вида)","No te asusta el bosque oscuro.
(Bueno, en realidad sí un poco, pero no lo demuestras.)",,,,,,,,,,
12_Forest_Entrance_ALONE_cardRight,,Bypass the forest,Обойти лес ,Rodear el bosque,,,,,,,,,,
12_Forest_Entrance_ALONE_cardRight_REV,,You walk towards the forest bypass but the path is blocked by the demo police and asks you to go through the forest,"Вы идете в сторону обхода леса, но путь вам преграждает полиция демоверсии и просит вас пройти через лес","Te diriges a rodear el bosque, pero la policía de la versión de prueba bloquea tu camino y te exige atravesarlo",,,,,,,,,,
